"","MuniCode","currentCovid","recovered","died","totalcase","CaseFatalRate","RecoverRate"
"1","PH099701000",5,239,6,250,0.024,0.956
"2","PH103502000",0,109,1,110,0.00909090909090909,0.990909090909091
"3","PH103514000",0,8,0,8,0,1
"4","PH103515000",0,2,0,2,0,1
"5","PH103520000",0,3,0,3,0,1
"6","PH103521000",0,13,0,13,0,1
"7","PH103523000",2,19,0,21,0,0.904761904761905
"8","PH124702000",3,15,1,19,0.0526315789473684,0.789473684210526
"9","PH124703000",22,49,0,71,0,0.690140845070423
"10","PH124709000",18,85,3,106,0.0283018867924528,0.80188679245283
"11","PH124711000",6,49,2,57,0.0350877192982456,0.859649122807018
"12","PH124712000",6,16,0,22,0,0.727272727272727
"13","PH124717000",1,9,1,11,0.0909090909090909,0.818181818181818
"14","PH129804000",66,1087,33,1186,0.0278246205733558,0.916526138279933
"15","PH150702000",4,156,1,161,0.0062111801242236,0.968944099378882
"16","PH150703000",0,7,1,8,0.125,0.875
"17","PH150704000",0,23,4,27,0.148148148148148,0.851851851851852
"18","PH150705000",0,26,0,26,0,1
"19","PH150706000",2,16,0,18,0,0.888888888888889
"20","PH150707000",0,6,0,6,0,1
"21","PH150708000",0,4,0,4,0,1
"22","PH150709000",0,5,0,5,0,1
"23","PH150710000",1,4,0,5,0,0.8
"24","PH150711000",1,5,0,6,0,0.833333333333333
"25","PH150712000",0,3,0,3,0,1
"26","PH153601000",1,6,1,8,0.125,0.75
"27","PH153602000",2,12,1,15,0.0666666666666667,0.8
"28","PH153603000",1,41,2,44,0.0454545454545455,0.931818181818182
"29","PH153604000",0,10,0,10,0,1
"30","PH153605000",0,3,0,3,0,1
"31","PH153606000",2,21,0,23,0,0.91304347826087
"32","PH153607000",0,9,1,10,0.1,0.9
"33","PH153609000",0,17,0,17,0,1
"34","PH153610000",0,8,0,8,0,1
"35","PH153611000",0,12,0,12,0,1
"36","PH153612000",2,5,0,7,0,0.714285714285714
"37","PH153613000",1,13,0,14,0,0.928571428571429
"38","PH153614000",0,1,0,1,0,1
"39","PH153615000",1,27,2,30,0.0666666666666667,0.9
"40","PH153616000",4,87,3,94,0.0319148936170213,0.925531914893617
"41","PH153617000",34,622,27,683,0.0395314787701318,0.910688140556369
"42","PH153618000",7,13,0,20,0,0.65
"43","PH153619000",0,11,1,12,0.0833333333333333,0.916666666666667
"44","PH153620000",0,1,0,1,0,1
"45","PH153621000",2,5,0,7,0,0.714285714285714
"46","PH153622000",1,10,0,11,0,0.909090909090909
"47","PH153623000",0,4,0,4,0,1
"48","PH153624000",2,31,0,33,0,0.939393939393939
"49","PH153625000",0,34,1,35,0.0285714285714286,0.971428571428571
"50","PH153626000",1,15,1,17,0.0588235294117647,0.882352941176471
"51","PH153627000",0,2,0,2,0,1
"52","PH153628000",0,2,0,2,0,1
"53","PH153629000",0,15,2,17,0.117647058823529,0.882352941176471
"54","PH153630000",5,29,0,34,0,0.852941176470588
"55","PH153631000",0,2,0,2,0,1
"56","PH153632000",0,2,0,2,0,1
"57","PH153633000",0,16,0,16,0,1
"58","PH153634000",0,13,0,13,0,1
"59","PH153635000",0,11,0,11,0,1
"60","PH153636000",1,6,0,7,0,0.857142857142857
"61","PH153637000",0,1,0,1,0,1
"62","PH153639000",0,3,0,3,0,1
"63","PH153641000",0,1,0,1,0,1
"64","PH153801000",2,10,0,12,0,0.833333333333333
"65","PH153802000",0,10,0,10,0,1
"66","PH153803000",3,22,0,25,0,0.88
"67","PH153805000",0,6,0,6,0,1
"68","PH153806000",0,8,0,8,0,1
"69","PH153807000",15,163,4,182,0.021978021978022,0.895604395604396
"70","PH153808000",12,25,0,37,0,0.675675675675676
"71","PH153809000",0,6,0,6,0,1
"72","PH153810000",4,3,0,7,0,0.428571428571429
"73","PH153811000",7,321,2,330,0.00606060606060606,0.972727272727273
"74","PH153812000",6,151,4,161,0.0248447204968944,0.937888198757764
"75","PH153813000",1,3,0,4,0,0.75
"76","PH153814000",0,5,0,5,0,1
"77","PH153815000",3,42,0,45,0,0.933333333333333
"78","PH153816000",0,18,0,18,0,1
"79","PH153817000",0,2,0,2,0,1
"80","PH153818000",0,9,0,9,0,1
"81","PH153819000",0,2,0,2,0,1
"82","PH153820000",0,4,0,4,0,1
"83","PH153821000",0,2,0,2,0,1
"84","PH153822000",0,3,0,3,0,1
"85","PH153823000",0,1,0,1,0,1
"86","PH153824000",0,15,0,15,0,1
"87","PH153825000",1,7,0,8,0,0.875
"88","PH153826000",0,7,0,7,0,1
"89","PH153828000",2,11,1,14,0.0714285714285714,0.785714285714286
"90","PH153829000",0,8,0,8,0,1
"91","PH153830000",0,2,0,2,0,1
"92","PH153831000",0,3,0,3,0,1
"93","PH153832000",0,1,0,1,0,1
"94","PH153833000",0,2,0,2,0,1
"95","PH153834000",1,5,0,6,0,0.833333333333333
"96","PH153835000",10,4,0,14,0,0.285714285714286
"97","PH153836000",0,1,0,1,0,1
"98","PH153837000",0,2,0,2,0,1
"99","PH156601000",0,45,1,46,0.0217391304347826,0.978260869565217
"100","PH156602000",4,173,6,183,0.0327868852459016,0.945355191256831
"101","PH156603000",0,4,0,4,0,1
"102","PH156604000",0,10,0,10,0,1
"103","PH156605000",0,8,0,8,0,1
"104","PH156607000",0,3,1,4,0.25,0.75
"105","PH156608000",0,18,0,18,0,1
"106","PH156609000",1,3,0,4,0,0.75
"107","PH156611000",0,28,0,28,0,1
"108","PH156612000",0,4,0,4,0,1
"109","PH156613000",0,9,0,9,0,1
"110","PH156614000",0,1,0,1,0,1
"111","PH156615000",0,2,1,3,0.333333333333333,0.666666666666667
"112","PH157001000",1,8,2,11,0.181818181818182,0.727272727272727
"113","PH157002000",5,121,1,127,0.0078740157480315,0.952755905511811
"114","PH157003000",0,2,0,2,0,1
"115","PH157004000",1,6,1,8,0.125,0.75
"116","PH157005000",1,6,0,7,0,0.857142857142857
"117","PH157006000",0,1,0,1,0,1
"118","PH157007000",0,3,0,3,0,1
"119","PH157008000",0,4,0,4,0,1
"120","PH157011000",0,8,1,9,0.111111111111111,0.888888888888889
